district,neighbourhood
Sant Andreu,Baró de Viver
Horta-Guinardo,Can Baró
Nou Barris,Can Peguera
Nou Barris,Canyelles
Nou Barris,Ciutat Meridiana
Sant Marti,Diagonal Mar i el Front Marítim del Poblenou
Horta-Guinardo,el Baix Guinardó
Ciutat Vella,el Barri Gòtic
Sant Marti,el Besòs i el Maresme
Sant Andreu,el Bon Pastor
Gracia,el Camp d'en Grassot i Gràcia Nova
Sant Marti,el Camp de l'Arpa del Clot
Horta-Guinardo,el Carmel
Sant Marti,el Clot
Gracia,el Coll
Sant Andreu,el Congrés i els Indians
Eixample,el Fort Pienc
Horta-Guinardo,el Guinardó
Sant Marti,el Parc i la Llacuna del Poblenou
Sants-Montjuic,el Poble-sec
Sant Marti,el Poblenou
Sarria-Sant Gervasi,el Putxet i el Farró
Ciutat Vella,el Raval
Nou Barris,el Turó de la Peira
Horta-Guinardo,Horta
Sants-Montjuic,Hostafrancs
Eixample,l'Antiga Esquerra de l'Eixample
Ciutat Vella,la Barceloneta
Sants-Montjuic,la Bordeta
Horta-Guinardo,la Clota
Eixample,la Dreta de l'Eixample
Horta-Guinardo,la Font d'en Fargues
Sants-Montjuic,la Font de la Guatlla
Nou Barris,la Guineueta
Sants-Montjuic,la Marina de Port
Sants-Montjuic,la Marina del Prat Vermell
Les Corts,la Maternitat i Sant Ramon
Eixample,la Nova Esquerra de l'Eixample
Nou Barris,la Prosperitat
Eixample,la Sagrada Família
Sant Andreu,la Sagrera
Gracia,la Salut
Horta-Guinardo,la Teixonera
Nou Barris,la Trinitat Nova
Sant Andreu,la Trinitat Vella
Horta-Guinardo,la Vall d'Hebron
Sant Marti,la Verneda i la Pau
Gracia,la Vila de Gràcia
Sant Marti,la Vila Olímpica del Poblenou
Les Corts,les Corts
Nou Barris,les Roquetes
Sarria-Sant Gervasi,les Tres Torres
Horta-Guinardo,Montbau
Sant Andreu,Navas
Les Corts,Pedralbes
Nou Barris,Porta
Sant Marti,Provençals del Poblenou
Sant Andreu,Sant Andreu
Eixample,Sant Antoni
Horta-Guinardo,Sant Genís dels Agudells
Sarria-Sant Gervasi,Sant Gervasi - Galvany
Sarria-Sant Gervasi,Sant Gervasi - la Bonanova
Sant Marti,Sant Martí de Provençals
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
Sants-Montjuic,Sants
Sants-Montjuic,Sants - Badal
Sarria-Sant Gervasi,Sarrià
Nou Barris,Torre Baró
Nou Barris,Vallbona
Gracia,Vallcarca i els Penitents
Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
Nou Barris,Verdun
Nou Barris,Vilapicina i la Torre Llobeta